review_id,customer_id,product_id,order_id,rating,review_date
RV00116,C0103,P017,O00326,4,2024-12-22
RV00117,C0120,P002,O00328,4,2025-07-03
RV00118,C0451,P017,O00334,3,2025-06-08
RV00119,C0204,P013,O00337,3,2024-08-16
RV00120,C0050,P005,O00341,5,2024-10-26
RV00121,C0120,P002,O00345,2,2024-02-11
RV00122,C0357,P024,O00347,3,2024-08-24
RV00123,C0185,P004,O00349,5,2025-02-24
RV00124,C0210,P019,O00352,5,2024-02-20
RV00125,C0056,P018,O00355,5,2025-10-30
RV00126,C0269,P005,O00356,3,2025-03-19
RV00127,C0173,P016,O00359,5,2025-09-18
RV00128,C0124,P017,O00364,5,2024-10-01
RV00129,C0414,P026,O00366,4,2024-09-05
RV00130,C0050,P014,O00371,2,2024-05-22
RV00131,C0246,P017,O00375,5,2024-10-17
RV00132,C0495,P021,O00376,5,2025-11-10
RV00133,C0181,P004,O00378,4,2025-10-05
RV00134,C0217,P026,O00379,5,2024-04-10
RV00135,C0209,P020,O00381,3,2024-03-21
RV00136,C0245,P018,O00383,5,2024-08-29
RV00137,C0488,P019,O00387,4,2024-02-27
RV00138,C0220,P004,O00393,3,2025-09-10
RV00139,C0359,P003,O00394,2,2025-06-03
RV00140,C0195,P002,O00395,5,2025-03-04
RV00141,C0164,P007,O00396,3,2024-03-14
RV00142,C0333,P014,O00398,4,2024-10-28
RV00143,C0390,P018,O00399,2,2024-08-11
RV00144,C0269,P027,O00400,3,2025-06-19
RV00145,C0269,P001,O00402,4,2024-09-27
RV00146,C0329,P028,O00403,5,2024-09-15
RV00147,C0207,P009,O00408,4,2024-05-06
RV00148,C0013,P009,O00411,5,2024-09-12
RV00149,C0442,P021,O00413,4,2024-06-20
RV00150,C0218,P006,O00414,4,2025-05-18
RV00151,C0384,P007,O00418,5,2025-07-12
RV00152,C0284,P004,O00419,2,2026-01-19
RV00153,C0258,P024,O00423,5,2024-04-24
RV00154,C0453,P012,O00424,5,2024-08-30
RV00155,C0322,P025,O00425,3,2024-08-30
RV00156,C0133,P028,O00426,5,2025-05-19
RV00157,C0200,P016,O00433,2,2024-01-29
RV00158,C0172,P010,O00436,5,2024-05-03
RV00159,C0046,P010,O00437,4,2025-01-29
RV00160,C0345,P014,O00439,5,2025-02-12
RV00161,C0067,P005,O00442,5,2025-04-21
RV00162,C0473,P014,O00448,4,2024-08-09
RV00163,C0420,P014,O00449,1,2024-03-31
RV00164,C0270,P016,O00451,1,2024-11-18
RV00165,C0356,P012,O00458,5,2025-02-14
RV00166,C0079,P005,O00459,1,2024-10-29
RV00167,C0244,P005,O00460,2,2025-11-24
RV00168,C0123,P009,O00462,4,2024-03-21
RV00169,C0362,P018,O00463,5,2025-09-19
RV00170,C0237,P017,O00474,5,2025-07-30
RV00171,C0015,P012,O00475,3,2025-02-16
RV00172,C0018,P003,O00482,4,2025-11-11
RV00173,C0200,P007,O00483,5,2025-10-26
RV00174,C0295,P027,O00484,3,2026-01-20
RV00175,C0055,P006,O00485,3,2025-06-01
RV00176,C0147,P014,O00487,4,2024-09-04
RV00177,C0411,P012,O00489,5,2024-03-22
RV00178,C0473,P013,O00490,4,2024-09-21
RV00179,C0117,P009,O00494,3,2024-01-29
RV00180,C0275,P001,O00496,4,2024-08-20
RV00181,C0337,P017,O00497,5,2025-09-05
RV00182,C0488,P007,O00499,4,2024-09-08
RV00183,C0026,P017,O00506,4,2024-08-17
RV00184,C0308,P008,O00507,3,2024-09-11
RV00185,C0311,P015,O00508,5,2025-01-11
RV00186,C0196,P013,O00509,5,2024-08-26
RV00187,C0467,P028,O00510,5,2024-09-30
RV00188,C0102,P026,O00512,5,2024-07-11
RV00189,C0487,P018,O00514,5,2025-04-22
RV00190,C0219,P028,O00516,4,2024-11-06
RV00191,C0115,P005,O00517,1,2024-06-30
RV00192,C0426,P010,O00518,5,2025-04-20
RV00193,C0193,P007,O00521,5,2024-08-18
RV00194,C0251,P024,O00523,3,2025-10-25
RV00195,C0490,P014,O00524,4,2024-12-08
RV00196,C0415,P015,O00525,5,2025-04-04
RV00197,C0336,P023,O00527,5,2024-02-25
RV00198,C0433,P007,O00528,5,2024-02-06
RV00199,C0391,P011,O00532,4,2025-07-19
RV00200,C0073,P019,O00533,5,2025-02-28
RV00201,C0243,P017,O00538,4,2024-01-17
RV00202,C0076,P011,O00542,4,2024-09-07
RV00203,C0432,P012,O00543,2,2024-08-17
RV00204,C0163,P016,O00547,5,2025-09-01
RV00205,C0290,P005,O00549,3,2024-08-20
RV00206,C0323,P025,O00553,5,2025-01-21
RV00207,C0428,P028,O00554,5,2024-09-22
RV00208,C0398,P011,O00557,4,2024-11-04
RV00209,C0218,P004,O00560,3,2024-06-23
RV00210,C0447,P002,O00563,4,2025-04-19
RV00211,C0151,P018,O00564,5,2025-01-17
RV00212,C0372,P018,O00566,5,2024-04-12
RV00213,C0121,P005,O00572,4,2025-02-03
RV00214,C0408,P025,O00578,5,2024-07-19
RV00215,C0442,P017,O00579,2,2025-02-01
RV00216,C0126,P006,O00581,4,2024-10-06
RV00217,C0158,P021,O00582,4,2024-06-19
RV00218,C0374,P020,O00585,5,2024-05-23
RV00219,C0308,P006,O00590,4,2024-10-13
RV00220,C0092,P016,O00591,4,2024-03-28
RV00221,C0404,P004,O00593,4,2025-03-10
RV00222,C0500,P009,O00594,5,2025-04-19
RV00223,C0095,P006,O00598,5,2024-12-14
RV00224,C0393,P016,O00601,4,2025-12-14
RV00225,C0004,P005,O00602,5,2025-10-22
RV00226,C0079,P019,O00603,3,2024-07-24
RV00227,C0120,P027,O00604,4,2024-08-20
RV00228,C0395,P012,O00605,5,2025-02-13
RV00229,C0185,P010,O00606,5,2025-05-20
RV00230,C0449,P001,O00607,1,2024-11-24
RV00231,C0018,P004,O00609,4,2024-06-13
RV00232,C0145,P012,O00612,5,2024-10-30
RV00233,C0173,P011,O00614,2,2024-12-29
RV00234,C0186,P004,O00617,3,2025-07-23
RV00235,C0458,P013,O00618,3,2025-05-21
RV00236,C0422,P016,O00619,3,2024-06-21
RV00237,C0331,P010,O00636,5,2025-08-09
RV00238,C0445,P012,O00637,5,2025-11-09
RV00239,C0374,P004,O00639,4,2024-07-09
RV00240,C0199,P004,O00640,4,2025-03-17
RV00241,C0325,P028,O00641,5,2024-04-15
RV00242,C0308,P004,O00643,1,2025-01-25
RV00243,C0097,P003,O00645,4,2024-08-25
RV00244,C0452,P010,O00651,4,2025-03-26
RV00245,C0066,P013,O00652,4,2025-12-01
RV00246,C0134,P023,O00653,1,2024-05-07
RV00247,C0095,P004,O00654,5,2024-03-31
RV00248,C0030,P026,O00657,4,2024-05-10
RV00249,C0177,P004,O00659,2,2025-11-03
RV00250,C0192,P025,O00662,4,2025-10-30
RV00251,C0338,P013,O00663,4,2025-02-07
RV00252,C0338,P014,O00670,5,2024-04-06
RV00253,C0188,P017,O00671,5,2025-06-15
RV00254,C0097,P015,O00676,5,2024-08-24
RV00255,C0387,P009,O00678,4,2025-11-04
RV00256,C0238,P003,O00680,5,2025-05-15
RV00257,C0464,P001,O00681,4,2024-11-03
RV00258,C0462,P006,O00686,4,2025-02-07
RV00259,C0056,P008,O00689,5,2024-10-31
RV00260,C0166,P012,O00690,2,2025-08-19
RV00261,C0022,P009,O00693,2,2024-08-16
RV00262,C0179,P025,O00694,1,2024-12-07
RV00263,C0383,P002,O00696,3,2024-11-10
RV00264,C0441,P004,O00697,1,2024-12-31
RV00265,C0410,P003,O00699,5,2025-11-13
RV00266,C0104,P022,O00701,2,2024-11-23
RV00267,C0234,P008,O00702,5,2025-05-06
RV00268,C0386,P014,O00704,5,2025-07-26
RV00269,C0279,P016,O00705,5,2024-02-19
RV00270,C0156,P003,O00707,4,2024-08-17
RV00271,C0339,P015,O00708,5,2025-08-30
RV00272,C0049,P013,O00710,4,2025-05-05
RV00273,C0396,P010,O00713,4,2024-11-09
RV00274,C0407,P010,O00714,5,2026-01-10
RV00275,C0337,P018,O00716,4,2024-07-12
RV00276,C0440,P018,O00718,2,2024-08-31
RV00277,C0148,P025,O00720,4,2025-06-14
RV00278,C0071,P002,O00722,4,2025-05-10
RV00279,C0094,P008,O00725,4,2025-11-15
RV00280,C0315,P014,O00729,4,2024-10-26
RV00281,C0435,P004,O00730,3,2025-02-24
RV00282,C0232,P018,O00733,4,2026-01-09
RV00283,C0079,P001,O00737,4,2025-07-12
RV00284,C0372,P014,O00739,3,2025-03-12
RV00285,C0389,P010,O00741,4,2024-05-28
RV00286,C0126,P009,O00742,3,2024-06-07
RV00287,C0006,P001,O00743,2,2025-11-12
RV00288,C0300,P018,O00744,3,2024-05-16
RV00289,C0296,P004,O00747,2,2025-08-13
RV00290,C0358,P006,O00749,4,2025-07-26
RV00291,C0079,P024,O00750,4,2025-03-23
RV00292,C0412,P002,O00751,5,2024-06-21
RV00293,C0242,P002,O00752,5,2024-11-26
RV00294,C0072,P001,O00760,2,2024-09-22
RV00295,C0101,P028,O00762,5,2025-04-13
RV00296,C0340,P026,O00765,5,2024-03-12
RV00297,C0393,P020,O00768,5,2025-07-24
RV00298,C0412,P028,O00769,3,2024-04-08
RV00299,C0327,P026,O00773,4,2024-12-07
RV00300,C0296,P026,O00776,2,2025-12-27
RV00301,C0122,P003,O00779,5,2024-03-13
RV00302,C0105,P018,O00785,5,2024-11-23
RV00303,C0271,P011,O00788,4,2024-09-08
RV00304,C0124,P013,O00790,2,2025-07-20
RV00305,C0475,P014,O00793,5,2025-06-06
RV00306,C0357,P006,O00794,1,2024-08-30
RV00307,C0188,P022,O00795,5,2025-10-14
RV00308,C0038,P024,O00796,3,2024-06-29
RV00309,C0287,P004,O00799,3,2025-05-26
RV00310,C0043,P012,O00800,2,2025-01-06
RV00311,C0280,P001,O00801,5,2024-04-16
RV00312,C0014,P007,O00803,4,2024-06-22
RV00313,C0444,P006,O00808,4,2025-02-15
RV00314,C0271,P004,O00809,5,2024-11-16
RV00315,C0189,P001,O00810,5,2025-06-30
RV00316,C0020,P005,O00814,5,2024-11-10
RV00317,C0062,P024,O00818,1,2025-03-05
RV00318,C0301,P002,O00819,4,2024-05-27
RV00319,C0425,P010,O00820,4,2025-01-14
RV00320,C0483,P015,O00827,3,2025-10-17
RV00321,C0267,P001,O00832,4,2024-06-11
RV00322,C0415,P026,O00834,5,2025-10-29
RV00323,C0104,P005,O00841,1,2024-12-26
RV00324,C0280,P023,O00843,3,2024-11-11
RV00325,C0302,P018,O00845,4,2025-07-17
RV00326,C0441,P009,O00847,2,2025-06-08
RV00327,C0260,P026,O00852,1,2025-05-06
RV00328,C0196,P025,O00855,4,2025-10-12
RV00329,C0101,P003,O00856,4,2024-06-01
RV00330,C0352,P006,O00858,5,2025-08-18
RV00331,C0486,P018,O00862,5,2024-05-25
RV00332,C0071,P015,O00864,3,2025-05-27
RV00333,C0036,P004,O00867,3,2024-11-23
RV00334,C0321,P010,O00870,5,2024-11-24
RV00335,C0266,P018,O00871,4,2025-02-15
RV00336,C0331,P013,O00873,5,2025-02-09
RV00337,C0458,P015,O00875,5,2025-07-29
RV00338,C0171,P003,O00876,2,2024-10-05
RV00339,C0474,P001,O00880,3,2024-03-25
RV00340,C0054,P016,O00886,1,2024-06-24
RV00341,C0282,P006,O00889,4,2024-12-21
RV00342,C0129,P001,O00893,4,2025-05-13
RV00343,C0361,P011,O00895,4,2024-03-13
RV00344,C0105,P014,O00897,2,2024-05-25
RV00345,C0033,P006,O00898,5,2025-06-26
RV00346,C0357,P004,O00900,5,2024-10-19
RV00347,C0402,P010,O00901,5,2025-09-19
RV00348,C0264,P004,O00904,3,2025-05-11
RV00349,C0321,P028,O00906,1,2025-08-28
RV00350,C0115,P016,O00910,4,2024-12-18
RV00351,C0114,P003,O00913,5,2024-10-06
RV00352,C0357,P018,O00916,4,2024-11-14
RV00353,C0321,P006,O00918,4,2025-02-11
RV00354,C0134,P004,O00919,2,2024-11-23
RV00355,C0217,P009,O00920,4,2025-12-23
RV00356,C0394,P006,O00924,5,2024-12-01
RV00357,C0395,P008,O00925,5,2025-03-22
RV00358,C0471,P008,O00929,5,2025-09-07
RV00359,C0086,P001,O00933,5,2024-11-10
RV00360,C0203,P004,O00935,5,2025-04-11
RV00361,C0353,P015,O00936,3,2024-03-26
RV00362,C0492,P028,O00937,4,2025-06-06
RV00363,C0429,P018,O00938,5,2025-02-21
RV00364,C0081,P013,O00940,5,2025-08-19
RV00365,C0237,P025,O00941,5,2025-04-02
RV00366,C0162,P022,O00943,5,2025-12-15
RV00367,C0460,P023,O00948,4,2025-08-21
RV00368,C0482,P012,O00949,5,2024-03-22
RV00369,C0278,P010,O00950,5,2025-12-02
RV00370,C0370,P012,O00951,3,2025-01-25
RV00371,C0255,P026,O00952,5,2024-01-13
RV00372,C0434,P007,O00953,2,2025-05-17
RV00373,C0337,P027,O00955,1,2024-04-04
RV00374,C0243,P006,O00958,5,2024-08-05
RV00375,C0208,P009,O00961,5,2024-06-04
RV00376,C0006,P008,O00965,4,2024-07-03
RV00377,C0303,P001,O00967,3,2025-12-13
RV00378,C0061,P015,O00968,5,2024-01-28
RV00379,C0442,P001,O00972,4,2025-02-05
RV00380,C0492,P010,O00975,4,2025-07-28
RV00381,C0432,P016,O00978,5,2024-07-09
RV00382,C0312,P027,O00981,3,2024-06-12
RV00383,C0296,P015,O00983,4,2025-09-16
RV00384,C0357,P002,O00984,4,2024-05-08
RV00385,C0411,P024,O00988,4,2024-08-11
RV00386,C0195,P027,O00993,4,2024-10-06
RV00387,C0202,P005,O00996,4,2025-02-22
RV00388,C0470,P020,O00997,1,2024-11-21
RV00389,C0127,P017,O00999,5,2024-07-05
RV00390,C0463,P004,O01000,4,2025-11-04
RV00391,C0186,P022,O01001,3,2025-11-15
RV00392,C0464,P005,O01002,5,2025-04-18
RV00393,C0478,P004,O01003,4,2024-11-20
RV00394,C0180,P012,O01005,2,2025-02-12
RV00395,C0018,P009,O01007,1,2025-05-10
RV00396,C0460,P006,O01012,5,2025-11-05
RV00397,C0288,P020,O01013,4,2025-10-28
RV00398,C0405,P009,O01014,4,2024-11-25
RV00399,C0180,P025,O01024,5,2024-11-11
RV00400,C0364,P006,O01025,5,2024-10-02
RV00401,C0364,P006,O01029,3,2025-03-21
RV00402,C0494,P026,O01031,5,2024-01-24
RV00403,C0190,P016,O01032,4,2024-03-14
RV00404,C0201,P005,O01036,3,2024-12-16
RV00405,C0094,P016,O01042,5,2024-12-07
RV00406,C0062,P025,O01044,4,2025-07-02
RV00407,C0409,P009,O01045,5,2025-10-18
RV00408,C0463,P008,O01049,1,2024-07-11
RV00409,C0487,P024,O01054,4,2024-07-12
RV00410,C0112,P004,O01057,4,2024-11-18
RV00411,C0314,P018,O01059,5,2024-10-16
RV00412,C0003,P024,O01060,5,2025-01-02
RV00413,C0494,P006,O01063,5,2025-07-18
RV00414,C0377,P009,O01065,5,2025-02-15
RV00415,C0311,P014,O01066,3,2025-04-25
RV00416,C0009,P019,O01067,5,2024-06-25
RV00417,C0290,P018,O01068,4,2024-06-28
RV00418,C0033,P011,O01069,5,2025-04-13
RV00419,C0434,P009,O01070,4,2025-02-07
RV00420,C0006,P022,O01071,4,2025-11-13
RV00421,C0022,P022,O01073,5,2024-12-07
RV00422,C0025,P014,O01074,4,2024-01-08
RV00423,C0083,P009,O01076,3,2025-03-23
RV00424,C0071,P001,O01078,3,2024-12-01
RV00425,C0246,P010,O01079,5,2025-02-10
RV00426,C0325,P013,O01081,3,2025-05-03
RV00427,C0052,P025,O01082,4,2025-08-27
RV00428,C0260,P013,O01086,4,2025-07-08
RV00429,C0150,P004,O01088,5,2024-10-20
RV00430,C0301,P020,O01089,1,2025-09-24
RV00431,C0088,P018,O01090,4,2025-11-12
RV00432,C0135,P024,O01093,5,2024-12-12
RV00433,C0243,P013,O01098,2,2024-11-18
RV00434,C0231,P012,O01101,5,2025-12-05
RV00435,C0022,P014,O01102,4,2025-09-02
RV00436,C0043,P025,O01103,4,2025-02-02
RV00437,C0022,P028,O01104,4,2025-01-29
RV00438,C0253,P006,O01109,5,2024-08-21
RV00439,C0074,P018,O01113,5,2024-06-04
RV00440,C0201,P001,O01116,3,2025-03-22
RV00441,C0229,P015,O01121,5,2025-05-13
RV00442,C0067,P019,O01125,5,2024-04-09
RV00443,C0277,P005,O01126,3,2024-10-11
RV00444,C0193,P015,O01128,1,2024-09-17
RV00445,C0236,P023,O01130,5,2024-08-29
RV00446,C0223,P012,O01131,3,2024-05-13
RV00447,C0257,P009,O01135,3,2024-03-19
RV00448,C0059,P003,O01137,3,2025-08-20
RV00449,C0291,P013,O01138,4,2025-10-09
RV00450,C0210,P009,O01141,5,2024-11-29
RV00451,C0451,P007,O01142,5,2025-04-04
RV00452,C0393,P011,O01145,4,2025-11-13
RV00453,C0413,P028,O01146,5,2024-07-11
RV00454,C0047,P018,O01147,1,2024-06-24
RV00455,C0500,P011,O01153,5,2024-11-22
RV00456,C0100,P014,O01155,5,2024-05-30
RV00457,C0187,P024,O01160,4,2025-07-24
RV00458,C0451,P021,O01161,4,2024-10-16
RV00459,C0071,P006,O01162,2,2025-07-17
RV00460,C0238,P005,O01164,5,2024-05-21
RV00461,C0472,P016,O01176,4,2024-08-20
RV00462,C0437,P006,O01177,4,2024-05-04
RV00463,C0452,P005,O01178,5,2025-01-04
RV00464,C0183,P018,O01180,5,2024-08-15
RV00465,C0151,P008,O01184,5,2024-09-15
RV00466,C0083,P027,O01185,2,2024-11-18
RV00467,C0280,P020,O01191,5,2024-09-07
RV00468,C0099,P018,O01193,5,2024-12-05
RV00469,C0087,P014,O01196,5,2024-06-29
RV00470,C0424,P016,O01197,4,2024-03-03
RV00471,C0020,P028,O01199,3,2024-12-03
RV00472,C0103,P003,O01200,4,2024-10-10
RV00473,C0052,P004,O01203,2,2025-06-26
RV00474,C0194,P010,O01205,3,2024-06-03
RV00475,C0321,P008,O01206,2,2024-12-10
RV00476,C0432,P024,O01208,5,2025-11-04
RV00477,C0172,P006,O01210,4,2024-02-28
RV00478,C0304,P021,O01211,4,2025-06-24
RV00479,C0024,P017,O01213,5,2025-02-25
RV00480,C0327,P023,O01214,1,2024-11-21
RV00481,C0348,P009,O01220,5,2024-05-03
RV00482,C0329,P014,O01224,4,2025-11-01
RV00483,C0333,P009,O01228,5,2024-11-20
RV00484,C0146,P004,O01231,2,2024-12-02
RV00485,C0049,P028,O01234,5,2024-12-09
RV00486,C0432,P016,O01236,4,2025-08-03
RV00487,C0435,P027,O01240,4,2024-01-31
RV00488,C0299,P004,O01242,5,2025-09-22
RV00489,C0429,P001,O01244,5,2025-05-21
RV00490,C0086,P014,O01245,5,2025-07-12
RV00491,C0165,P016,O01246,1,2025-04-18
RV00492,C0457,P026,O01247,5,2024-02-03
RV00493,C0284,P001,O01248,5,2025-02-22
RV00494,C0286,P014,O01250,3,2025-05-17
